district,state,work_sector,area_type,distance_from_city,gdp_per_capita,literacy_rate_male,literacy_rate_female,avg_upi_txn_volume
District_1,State_D,Construction,Urban,62.6,90.25,87.7,81.98,38.19
District_2,State_E,Services,Urban,25.6,90.87,99.37,66.8,78.85
District_3,State_C,Construction,Rural,94.0,80.56,84.6,62.48,32.25
District_4,State_E,Services,Rural,47.6,56.06,97.18,73.89,53.43
District_5,State_E,Construction,Rural,86.2,95.79,83.03,61.78,44.91
District_6,State_B,Agriculture,Rural,177.2,88.63,80.5,91.03,37.77
District_7,State_C,Construction,Rural,68.2,58.06,89.35,60.97,60.49
District_8,State_C,Services,Rural,28.8,66.35,90.07,80.26,59.0
District_9,State_C,Services,Rural,74.5,97.75,95.93,75.35,42.78
District_10,State_E,Manufacturing,Rural,181.8,92.11,76.91,83.52,18.59
District_11,State_D,Agriculture,Rural,58.1,65.59,84.98,71.49,43.7
District_12,State_C,Construction,Urban,131.3,74.6,87.16,65.43,52.09
District_13,State_E,Manufacturing,Urban,5.1,77.13,93.06,94.36,50.03
District_14,State_B,Construction,Urban,73.8,92.34,71.31,89.36,61.34
District_15,State_D,Construction,Urban,64.4,104.98,99.84,90.11,79.0
District_16,State_B,Manufacturing,Urban,37.1,81.31,84.1,68.76,56.21
District_17,State_D,Manufacturing,Urban,109.1,103.38,78.39,61.36,58.52
District_18,State_E,Manufacturing,Urban,99.5,97.47,96.5,70.61,52.22
District_19,State_A,Manufacturing,Rural,140.0,84.11,92.43,78.8,67.59
District_20,State_D,Manufacturing,Rural,57.5,51.13,98.59,71.43,57.97
District_21,State_B,Construction,Rural,52.6,59.45,79.92,88.98,61.24
District_22,State_E,Manufacturing,Urban,37.8,94.82,86.58,69.5,77.13
District_23,State_D,Agriculture,Urban,47.7,45.79,87.17,93.78,53.4
District_24,State_A,Services,Rural,113.8,82.38,99.41,76.0,45.94
District_25,State_A,Manufacturing,Rural,83.7,100.01,72.26,89.47,56.69
District_26,State_C,Manufacturing,Rural,17.7,83.05,79.17,66.8,67.04
District_27,State_C,Construction,Rural,54.5,67.97,75.73,74.4,57.52
District_28,State_B,Manufacturing,Urban,53.1,63.07,78.05,84.48,65.91
District_29,State_D,Manufacturing,Urban,140.8,96.32,84.56,64.84,39.97
District_30,State_D,Manufacturing,Urban,143.9,89.43,81.18,64.65,36.98
District_31,State_C,Construction,Rural,33.9,74.29,81.84,93.93,41.82
District_32,State_D,Manufacturing,Rural,199.6,101.31,95.33,85.01,30.99
District_33,State_D,Services,Rural,57.0,97.08,97.9,61.44,51.65
District_34,State_A,Construction,Urban,195.4,115.77,72.11,73.96,43.55
District_35,State_C,Services,Rural,85.2,91.34,76.27,75.17,68.45
District_36,State_E,Construction,Rural,11.4,76.71,90.13,86.04,30.63
District_37,State_C,Manufacturing,Rural,72.3,77.14,80.76,68.78,73.32
District_38,State_E,Services,Urban,128.7,41.31,77.62,66.45,35.28
District_39,State_A,Construction,Rural,137.7,83.01,78.86,62.83,31.43
District_40,State_B,Agriculture,Rural,108.5,79.69,79.68,74.99,37.63
District_41,State_D,Manufacturing,Urban,92.3,53.4,95.46,84.1,79.27
District_42,State_A,Construction,Rural,112.8,79.49,74.1,62.04,49.4
District_43,State_D,Agriculture,Urban,120.6,106.86,91.27,92.03,57.94
District_44,State_B,Construction,Rural,20.8,65.31,86.58,75.48,47.24
District_45,State_B,Agriculture,Rural,77.1,60.8,78.9,68.39,48.65
District_46,State_A,Manufacturing,Urban,52.2,102.1,82.59,63.29,42.41
District_47,State_B,Services,Rural,161.6,92.68,77.69,66.4,50.76
District_48,State_E,Agriculture,Urban,96.7,141.22,88.35,92.71,57.42
District_49,State_B,Construction,Urban,196.8,53.63,72.45,82.34,75.17
District_50,State_D,Manufacturing,Urban,82.8,94.41,70.16,78.08,21.88
