district,state,work_sector,area_type,distance_from_city,gdp_per_capita,literacy_rate_male,literacy_rate_female,avg_upi_txn_volume
Nicobar,Andaman Nicobar,LifeStyle,Rural,40.1,85.06,91.74,65.81,47.47
North Middle Andaman,Andaman Nicobar,LifeStyle,Urban,25.9,120.7,93.1,60.9,40.26
South Andaman,Andaman Nicobar,Services,Rural,144.8,79.5,96.69,84.71,35.57
Alluri Sitarama Raju,Andhra Pradesh,LifeStyle,Rural,126.4,72.31,72.47,64.72,56.23
Anakapalli,Andhra Pradesh,IT and Security,Urban,64.8,91.09,89.39,66.57,43.98
Anantapur,Andhra Pradesh,Agriculture,Rural,125.5,74.33,96.03,67.73,38.56
Annamaya,Andhra Pradesh,Construction,Rural,53.9,84.93,86.25,74.71,50.92
Bapatla,Andhra Pradesh,Construction,Rural,197.7,86.87,81.67,91.48,53.94
Chittoor,Andhra Pradesh,IT and Security,Urban,130.5,90.61,79.28,88.02,49.16
East Godavari,Andhra Pradesh,Agriculture,Urban,190.0,95.71,72.62,85.95,8.79
Eluru,Andhra Pradesh,LifeStyle,Rural,52.2,109.58,78.63,82.09,31.38
Guntur,Andhra Pradesh,Agriculture,Rural,172.6,89.86,84.94,74.3,51.3
Kadapa,Andhra Pradesh,Food,Rural,50.9,93.87,87.59,75.62,35.3
Kakinada,Andhra Pradesh,Services,Urban,5.7,98.81,75.49,68.49,56.16
Konaseema,Andhra Pradesh,LifeStyle,Rural,194.9,73.12,73.32,93.69,70.13
Krishna,Andhra Pradesh,Manufacturing,Urban,130.9,85.15,85.88,86.95,68.14
Kurnool,Andhra Pradesh,Agriculture,Urban,95.2,47.55,88.07,60.38,47.24
Manyam,Andhra Pradesh,Food,Rural,77.2,96.02,88.47,64.36,43.25
N T Rama Rao,Andhra Pradesh,Medical,Rural,116.3,88.14,77.14,66.12,45.06
Nandyal,Andhra Pradesh,Food,Urban,52.4,70.95,88.75,60.76,68.12
Nellore,Andhra Pradesh,Medical,Rural,41.4,50.58,82.79,71.9,50.77
Palnadu,Andhra Pradesh,IT and Security,Urban,143.6,72.97,78.37,82.07,49.19
Prakasam,Andhra Pradesh,Agriculture,Rural,168.2,67.47,78.11,86.9,41.38
Sri Balaji,Andhra Pradesh,Agriculture,Rural,157.7,79.22,86.28,76.31,38.63
Sri Satya Sai,Andhra Pradesh,Food,Rural,18.1,76.2,71.51,71.36,56.13
Srikakulam,Andhra Pradesh,Construction,Urban,39.7,23.92,87.9,83.88,51.34
Visakhapatnam,Andhra Pradesh,IT and Security,Rural,71.6,112.81,82.63,72.51,61.38
Vizianagaram,Andhra Pradesh,Manufacturing,Rural,171.2,68.47,93.95,81.67,57.08
West Godavari,Andhra Pradesh,Manufacturing,Urban,193.5,80.3,92.22,80.21,76.73
Anjaw,Arunachal Pradesh,Agriculture,Rural,133.6,73.89,86.82,78.72,32.22
Bichom,Arunachal Pradesh,Medical,Rural,106.3,69.66,73.13,85.91,34.17
Changlang,Arunachal Pradesh,Construction,Urban,151.1,101.96,83.37,91.51,42.75
Dibang Valley,Arunachal Pradesh,Food,Urban,25.4,53.04,86.92,91.56,36.16
East Kameng,Arunachal Pradesh,Agriculture,Urban,190.9,61.74,98.01,83.93,50.44
East Siang,Arunachal Pradesh,IT and Security,Urban,41.6,92.87,77.12,68.92,40.38
Kamle,Arunachal Pradesh,Manufacturing,Rural,49.5,41.72,72.95,74.39,44.94
Keyi Panyor,Arunachal Pradesh,Manufacturing,Rural,107.6,75.79,75.22,60.53,41.62
Kra Daadi,Arunachal Pradesh,Construction,Rural,54.2,77.17,72.6,89.25,17.74
Kurung Kumey,Arunachal Pradesh,Food,Rural,181.5,87.98,71.34,71.93,55.66
Lepa Rada,Arunachal Pradesh,Construction,Urban,137.7,102.88,72.77,73.57,63.04
Lohit,Arunachal Pradesh,Services,Rural,107.2,64.57,91.88,72.78,27.75
Longding,Arunachal Pradesh,Manufacturing,Urban,67.6,89.54,72.9,86.64,48.93
Lower Dibang Valley,Arunachal Pradesh,Services,Rural,149.0,95.39,70.45,72.98,42.89
Lower Siang,Arunachal Pradesh,IT and Security,Urban,45.9,49.0,96.54,82.32,51.28
Lower Subansiri,Arunachal Pradesh,IT and Security,Rural,126.6,82.48,86.81,66.23,30.12
Namsai,Arunachal Pradesh,Services,Urban,120.4,65.35,83.87,63.82,51.61
Pakke Kessang,Arunachal Pradesh,Services,Rural,100.0,113.48,87.89,68.23,36.85
Papum Pare,Arunachal Pradesh,Medical,Rural,199.1,73.45,71.42,74.07,56.07
Shi Yomi,Arunachal Pradesh,Medical,Rural,32.7,48.9,96.68,79.17,36.06
Siang,Arunachal Pradesh,Food,Rural,61.8,92.33,96.43,73.77,74.11
Tawang,Arunachal Pradesh,Food,Rural,39.5,43.78,94.01,80.64,54.66
Tirap,Arunachal Pradesh,Services,Rural,77.5,94.9,97.56,90.33,34.99
Upper Siang,Arunachal Pradesh,IT and Security,Rural,172.6,89.96,97.95,94.69,38.88
Upper Subansiri,Arunachal Pradesh,Medical,Rural,122.1,90.92,80.37,80.71,70.26
West Kameng,Arunachal Pradesh,IT and Security,Rural,34.8,54.91,76.01,81.5,42.35
West Siang,Arunachal Pradesh,Medical,Urban,97.1,77.87,85.62,77.33,68.37
Bajali,Assam,Manufacturing,Rural,60.7,42.9,89.77,72.42,34.24
Baksa,Assam,Food,Rural,143.6,82.58,72.4,69.68,65.52
Barpeta,Assam,Food,Rural,64.1,82.37,85.29,71.91,44.7
Biswanath,Assam,IT and Security,Rural,39.2,74.68,75.61,67.89,55.41
Bongaigaon,Assam,IT and Security,Rural,150.6,84.06,83.78,81.62,77.51
Cachar,Assam,Manufacturing,Rural,116.1,84.63,87.52,65.06,41.5
