district,state,work_sector,area_type,distance_from_city,gdp_per_capita,literacy_rate_male,literacy_rate_female,avg_upi_txn_volume,gender,predicted_income
Kota,Rajasthan,IT and Security,Urban,111.0,85.62,92.77,64.85,47.42,Female,38723.54
Pilibhit,Uttar Pradesh,Services,Urban,117.2,72.97,85.57,69.97,56.82,Male,47241.93
Sri Ganganagar,Rajasthan,Construction,Urban,17.8,68.74,75.3,69.7,56.79,Male,55091.17
Malkangiri,Odisha,Services,Urban,184.4,90.45,82.7,82.86,72.41,Female,28882.53
Idukki,Kerala,Food,Urban,166.8,67.73,83.8,72.03,73.94,Female,5000.0
Valsad,Gujarat,LifeStyle,Urban,185.2,66.93,99.88,86.87,63.89,Female,53546.34
Sukma,Chhattisgarh,Construction,Urban,106.9,82.73,96.16,60.96,47.7,Male,33674.31
Malkangiri,Odisha,Services,Urban,184.4,90.45,82.7,82.86,72.41,Female,43319.1
Balangir,Odisha,Medical,Urban,144.7,104.27,75.2,72.32,68.88,Male,44081.08
Eluru,Andhra Pradesh,LifeStyle,Rural,52.2,109.58,78.63,82.09,31.38,Female,61369.33
Sabarkantha,Gujarat,LifeStyle,Rural,58.2,67.79,98.54,72.03,49.21,Male,20924.85
Lohit,Arunachal Pradesh,Services,Rural,107.2,64.57,91.88,72.78,27.75,Female,26071.14
Rewari,Haryana,Services,Urban,82.6,71.17,77.7,78.53,39.85,Female,75863.84
Kolhapur,Maharashtra,Agriculture,Urban,39.9,75.51,95.79,68.67,48.79,Female,60205.85
Harda,Madhya Pradesh,Food,Rural,169.7,60.56,73.84,90.21,26.65,Male,31492.36
Mandsaur,Madhya Pradesh,Medical,Urban,139.2,122.54,97.67,91.83,97.6,Female,43907.18
Ambala,Haryana,Construction,Rural,124.4,60.49,71.31,70.21,66.29,Male,8652.27
Kabirdham,Chhattisgarh,Medical,Rural,83.6,95.71,94.26,65.81,56.11,Male,54949.26
Mahe,Puducherry,LifeStyle,Urban,19.0,54.4,77.85,85.12,74.78,Male,9200.61
Panipat,Haryana,Medical,Rural,159.6,107.01,80.75,85.56,30.24,Female,51083.5
Nizamabad,Telangana,Medical,Rural,53.0,87.36,83.3,75.58,59.29,Male,32562.26
Mamit,Mizoram,Agriculture,Urban,59.1,60.45,77.87,76.75,66.34,Female,39272.89
Tiruvarur,Tamil Nadu,Medical,Rural,115.0,155.8,82.83,63.73,60.01,Female,50900.64
Jhansi,Uttar Pradesh,Food,Rural,67.6,48.59,79.38,67.64,64.14,Male,59151.04
Bishnupur,Manipur,Agriculture,Rural,124.0,80.95,77.77,92.21,61.31,Female,52675.67
Mairang,Meghalaya,Medical,Rural,18.6,70.37,99.53,72.13,62.18,Male,5000.0
Noklak,Nagaland,Agriculture,Urban,9.7,110.57,96.51,94.69,61.01,Female,35210.86
Shahpura,Rajasthan,Construction,Rural,88.0,91.92,84.05,87.23,48.99,Female,30198.9
Vizianagaram,Andhra Pradesh,Manufacturing,Rural,171.2,68.47,93.95,81.67,57.08,Female,44929.65
Dhanbad,Jharkhand,IT and Security,Rural,81.3,72.72,70.42,71.5,63.43,Male,42092.69
West Karbi Anglong,Assam,Agriculture,Urban,151.0,83.74,96.49,77.06,58.54,Male,29853.6
Longding,Arunachal Pradesh,Manufacturing,Urban,67.6,89.54,72.9,86.64,48.93,Male,22663.34
Bilaspur,Chhattisgarh,Construction,Urban,85.7,75.95,81.43,68.28,69.84,Male,39916.56
Bilaspur,Himachal Pradesh,Food,Rural,80.0,88.55,98.17,77.72,55.14,Female,70303.22
Satna,Madhya Pradesh,IT and Security,Rural,99.9,65.29,70.48,62.57,75.17,Male,26641.54
Ratnagiri,Maharashtra,LifeStyle,Rural,126.0,93.14,77.64,63.71,64.88,Female,44899.25
Chikkamagaluru,Karnataka,Medical,Urban,184.0,92.44,71.49,61.12,51.99,Female,41443.32
Sitapur,Uttar Pradesh,Agriculture,Rural,166.0,85.17,77.33,72.67,53.91,Male,14080.15
Vaishali,Bihar,Medical,Rural,132.1,94.23,80.61,72.94,43.68,Male,44736.11
